0757552013,Amazon,95.86,New,Mega Discount Books,79.99,Used - Acceptable,True,79.99,106.3867,-0.17,-0.25,-0.29
1259583104,Amazon,121.72,New,Amazon,75.74,New,False,75.74,100.7342,-0.38,-0.44,-0.47
1584265027,Book Depository CA,144.7,New,Amazon,89.95,New,False,89.95,119.63350000000001,-0.38,-0.44,-0.47
128412262X,Amazon,126.95,New,Amazon,73.41,New,False,73.41,97.6353,-0.42,-0.48,-0.51
0195167015,Amazon,115.71,New,Mindfulness Creations,69.84,Used - Good,True,69.84,92.8872,-0.4,-0.46,-0.49
0500293368,Amazon,122.95,New,Wixihatchi,71.19,Used - Very Good,True,71.19,94.6827,-0.42,-0.48,-0.51
0323392563,Amazon,349.79,New,*Smart Student*,221.57,Used - Good,True,221.57,294.6881,-0.37,-0.43,-0.46
1496349288,Book Depository CA,288.98,New,RockCityBooks,144.16,Used - Good,True,144.16,191.7328,-0.5,-0.55,-0.58
1284105377,Kennys Bookshop & Art Gallery,106.87,New,apex_media,65.66,Used - Good,True,65.66,87.3278,-0.39,-0.45,-0.48
1975100670,Ria Christie,154.75,Used - Like New,Amazon,119.99,New,False,119.99,159.5867,-0.22,-0.3,-0.34
0323415598,Amazon,169.54,New,*Smart Student*,95.92,New,True,95.92,127.57360000000001,-0.43,-0.49,-0.52
1602510253,Amazon,113.25,New,Perpetual Textbooks,66.59,Used - Good,True,66.59,88.56470000000002,-0.41,-0.47,-0.5
1496349032,Niche_Books,242.68,Used - Like New,Amazon,237.8,New,False,237.8,316.27400000000006,-0.02,-0.12,-0.17
197510658X,Amazon,142.52,New,Old Dominion Shops,89.09,New,True,89.09,118.48970000000001,-0.37,-0.44,-0.47
0323188842,Book Depository CA,120.85,New,itemspopularsonlineaindemand,88.07,New,True,88.07,117.1331,-0.27,-0.34,-0.38
159888865X,Amazon,162.56,New,FlippingPages,95.85,Used - Good,True,95.85,127.48049999999999,-0.41,-0.47,-0.5
1337559083,_betterworldbooks_,115.64,Used - Good,bookscheap46,101.22,Used - Like New,True,101.22,134.6226,-0.12,-0.21,-0.26
032356688X,Amazon,252.95,New,Half-Price Hank's Books,150.77,Used - Like New,True,150.77,200.52410000000003,-0.4,-0.46,-0.49
039306011X,powellsbooks,224.64000000000001,Used - Very Good,apex_media,127.64,Used - Good,True,127.64,169.7612,-0.43,-0.49,-0.52
0323169511,Prestivo3,129.4,Used - Very Good,book182wire,106.82,New,True,106.82,142.07059999999998,-0.17,-0.26,-0.3
1259587487,Basi6,216.29,New,Goodbooks Company,149.67,Used - Good,True,149.67,199.06109999999998,-0.31,-0.38,-0.41
1118128915,OasisRetail,89.56,Used - Very Good,apex_media,52.23,Used - Good,True,52.23,69.4659,-0.42,-0.48,-0.5
0071807284,fakeDict,-99,something wrong happened,SimpleLittleFarm,174.85,Used - Good,True,174.85,232.5505,-2.77,-2.59,-2.5
0323549411,Amazon,330.93,New,itemspopularsonlineaindemand,238.08,New,True,238.08,316.6464,-0.28,-0.35,-0.39
1567936733,Amazon,111.0,New,Benton and Val's Store,64.67,New,True,64.67,86.01110000000001,-0.42,-0.48,-0.5
1337563897,Amazon,163.3,New,Wholesale Textbooks Direct,79.9,Used - Good,True,79.9,106.26700000000001,-0.51,-0.56,-0.58
013388466X,Paragon OS3,155.43,Used - Very Good,II Best Choice II,79.99,Used - Very Good,True,79.99,106.3867,-0.49,-0.54,-0.56
1319105602,Kelowna Books,119.44,New,FranklinMedia,71.55,Used - Good,True,71.55,95.1615,-0.4,-0.46,-0.49
1284148645,Amazon,99.94,New,book182wire,74.44,New,True,74.44,99.0052,-0.26,-0.33,-0.37
1285857151,Paragon OS3,158.28,Used - Good,💲Value_Text📚,74.9,Used - Good,True,74.9,99.61700000000002,-0.53,-0.57,-0.6
164020749X,Book Depository CA,296.12,New,Perpetual Textbooks,100.0,Used - Acceptable,True,100.0,133.0,-0.66,-0.7,-0.71
1585624543,Book Depository CA,97.01,New,Amazon,71.34,New,False,71.34,94.88220000000001,-0.26,-0.34,-0.37
1337098140,Kennys Bookshop & Art Gallery,130.07,New,FranklinMedia,94.22,Used - Good,True,94.22,125.3126,-0.28,-0.35,-0.38
1848726953,Basi6,190.79999999999998,New,RentU,88.89,Used - Acceptable,True,88.89,118.22370000000001,-0.53,-0.58,-0.6
0323065163,Ergodebooks Ships from USA,198.27,Used - Good,Gentilly Books,88.99,Used - Acceptable,True,88.99,118.3567,-0.55,-0.6,-0.62
1284048357,Kennys Bookshop & Art Gallery,98.02,New,FlippingPages,47.68,Used - Acceptable,True,47.68,63.4144,-0.51,-0.56,-0.59
1609300602,Amazon,208.42,New,Pro Savings,95.0,Used - Acceptable,True,95.0,126.35000000000001,-0.54,-0.59,-0.61
1449605834,Layger,186.99,New,Quick-Easy,75.94,Used - Good,True,75.94,101.0002,-0.59,-0.63,-0.65
1412978718,bwbuk_ltd,152.66,Used - Good,RockCityBooks,85.93,Used - Good,True,85.93,114.28690000000002,-0.44,-0.49,-0.52
1284029549,Paragon OS3,191.99,Used - Very Good,NetYourselfADeal,71.53,Used - Acceptable,True,71.53,95.1349,-0.63,-0.66,-0.68
1259965066,Amazon,119.88,New,a_team🅱ooks,117.7,New,False,117.7,156.54100000000003,-0.02,-0.12,-0.17
1610022939,Amazon,182.44,New,Abundance Booksellers,108.52,Used - Acceptable,True,108.52,144.3316,-0.41,-0.46,-0.49
1285187555,Amazon,149.54,New,cheap affordable textbooks,91.99,Used - Like New,True,91.99,122.3467,-0.38,-0.45,-0.48
0323495885,Amazon,252.31,New,Amazon,176.0,New,False,176.0,234.08,-0.3,-0.37,-0.41
0199862168,Ergodebooks Ships from USA,124.99,Used - Good,BluegrassBooks18,80.29,Used - Good,True,80.29,106.78570000000002,-0.36,-0.42,-0.45
1584265078,thebookcommunity_ca,184.94,Used - Very Good,apex_media,73.0,Used - Acceptable,True,73.0,97.09,-0.61,-0.64,-0.66
0133956768,Amazon,187.0,New,ALBY ROW BOOKS,107.98,Used - Very Good,True,107.98,143.6134,-0.42,-0.48,-0.51
1452226245,Book Depository CA,127.19,New,Amazon,99.13,New,False,99.13,131.84290000000001,-0.22,-0.3,-0.34
0135126487,GreatBuy Books,139.06,Used - Good,Amazon,106.66,New,False,106.66,141.8578,-0.23,-0.31,-0.35
0393679578,Amazon,194.95,New,💲Value_Text📚,109.43,Used - Good,True,109.43,145.54190000000003,-0.44,-0.49,-0.52
1449686672,Ergodebooks Ships from USA,136.64000000000001,Used - Good,Perpetual Textbooks,87.99,Used - Very Good,True,87.99,117.0267,-0.36,-0.42,-0.45
