ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0815344325,Kelowna Books,221.44,New,Amazon,125.02,Used - Acceptable,True,125.02,166.2766,-0.44,-0.49,-0.52
0826134742,Distant_books,60.01,Used - Like New,itemspopularsonlineaindemand,38.25,New,True,38.25,50.8725,-0.36,-0.43,-0.46
0134112830,fakeDict,-99.0,something wrong happened,Half-Price Hank's Books,69.11,Used - Acceptable,True,69.11,91.9163,-1.7,-1.63,-1.59
1401207138,The Comic Hunter (Moncton),98.9,Used - Very Good,Amazon,80.11,New,False,80.11,106.5463,-0.19,-0.27,-0.31
1439840954,Distant_books,93.39,New,ayvax,64.38,New,True,64.38,85.6254,-0.31,-0.38,-0.41
0521833787,Textbooks for Change,98.74,Used - Good,Amazon,67.35,New,False,67.35,89.57549999999998,-0.32,-0.39,-0.42
1319057446,Talk of the Tome Books,66.48,New,Perpetual Textbooks,55.02,Used - Very Good,True,55.02,73.17660000000002,-0.17,-0.26,-0.3
013454353X,Second Bind,155.03,Used - Like New,Abundance Booksellers,106.84,Used - Acceptable,True,106.84,142.09720000000004,-0.31,-0.38,-0.41
1617952796,Amazon,82.6,New,Amazon,54.1,New,False,54.1,71.953,-0.35,-0.41,-0.44
0310452775,Amazon,67.46,New,Amazon,43.85,New,False,43.85,58.3205,-0.35,-0.41,-0.45
0891896600,BLU-NEKO*CA,472.41,Used - Very Good,American Society for Clinical Pathology,89.0,New,True,89.0,118.37,-0.81,-0.83,-0.84
1433544040,Kennys Bookshop & Art Gallery,83.47,New,Amazon,60.8,New,False,60.8,80.86399999999999,-0.27,-0.34,-0.38
0134775651,Amazon,90.56,New,Amazon,58.46,New,False,58.46,77.7518,-0.35,-0.42,-0.45
1483344371,Amazon,92.37,New,Amazon,64.92,New,False,64.92,86.34360000000002,-0.3,-0.37,-0.4
0071390111,Amazon,121.72,New,BnM,80.21,Collectible - Like New,True,80.21,106.6793,-0.34,-0.41,-0.44
