0134217438,Amazon,255.27,New,Perpetual Textbooks,103.16,Used - Very Good,True,103.16,137.2028,-0.6,-0.64,-0.66
1506341705,Book Depository CA,144.64,New,Amazon,130.06,New,False,130.06,172.9798,-0.1,-0.19,-0.24
0877289190,Amazon,153.03,New,RentU,96.05,Used - Good,True,96.05,127.7465,-0.37,-0.44,-0.47
1133943497,Caper Books,166.44,Used - Very Good,EZ-Discounts,102.95,Used - Good,True,102.95,136.92350000000002,-0.38,-0.44,-0.47
1305577191,Virtual_Books,109.97,New,FlippingPages,51.07,Used - Good,True,51.07,67.9231,-0.54,-0.58,-0.61
1107149894,Rain drop,66.6,Used - Very Good,TEXTBookAMAZING,51.57,New,True,51.57,68.5881,-0.23,-0.3,-0.34
0805303081,Amazon,185.0,New,PJ5sFindz4You,92.88,Used - Good,True,92.88,123.5304,-0.5,-0.55,-0.57
1598561782,Amazon,76.16,New,Amazon,56.26,New,False,56.26,74.8258,-0.26,-0.34,-0.37
111944425X,Amazon,136.02,New,Amazon,138.23,New,False,138.23,183.8459,0.02,-0.09,-0.14
1259616029,Amazon,294.42,New,FlippingPages,93.0,Used - Good,True,93.0,123.69000000000001,-0.68,-0.72,-0.73
1305860306,Hinoyama#CA,149.82,Used - Good,Ready Set Books,66.51,Used - Acceptable,True,66.51,88.45830000000001,-0.56,-0.6,-0.62
0880620145,Amazon,107.66,New,RentU,61.65,Used - Like New,True,61.65,81.9945,-0.43,-0.48,-0.51
1118774566,Amazon,217.95,New,shop2000,118.88,Used - Acceptable,True,118.88,158.1104,-0.45,-0.51,-0.54
1259948439,Amazon,142.44,New,🗽Empire Text📚,92.81,Used - Like New,True,92.81,123.43730000000001,-0.35,-0.41,-0.45
1555819877,Virtual_Books,137.03,New,Amazon,105.0,New,False,105.0,139.65,-0.23,-0.31,-0.35
0803638213,Amazon,159.98,New,FlippingPages,62.94,Used - Good,True,62.94,83.7102,-0.61,-0.65,-0.67
1586409751,Book Depository CA,120.35,New,Today's Prime Deals,44.95,Used - Good,True,44.95,59.783500000000004,-0.63,-0.66,-0.68
1603800964,Amazon,77.33,New,RentU,53.27,Used - Good,True,53.27,70.8491,-0.31,-0.38,-0.41
1284110877,Amazon,125.22,New,Hanson’s,68.0,Used - Acceptable,True,68.0,90.44,-0.46,-0.51,-0.54
1305269470,Virtual_Books,100.2,New,Perpetual Textbooks,79.99,Used - Very Good,True,79.99,106.3867,-0.2,-0.28,-0.32
1591264464,Book Depository CA,174.2,New,Sales Leads,74.99,Used - Good,True,74.99,99.7367,-0.57,-0.61,-0.63
081534466X,bookspedia2018,52.53,Used - Very Good,BooksUnlimited2016,84.9,Used - Very Good,True,84.9,112.91700000000002,0.62,0.45,0.37
0792230345,fakeDict,-99,something wrong happened,Amazon,46.36,Used - Acceptable,True,46.36,61.6588,-1.47,-1.42,-1.4
1535948027,Amazon,105.58,New,LifeWay Christian Store,79.99,New,True,79.99,106.3867,-0.24,-0.32,-0.36
1319050573,Textbooks for Change,76.69999999999999,Used - Very Good,apex_media,84.75,Used - Very Good,True,84.75,112.7175,0.1,-0.01,-0.06
1108488390,Amazon,74.95,New,Amazon,56.33,New,False,56.33,74.91890000000001,-0.25,-0.32,-0.36
0321969561,Canada's Best Books,179.99,Used - Good,Open Range Media,107.32,Used - Good,True,107.32,142.7356,-0.4,-0.46,-0.49
0415712270,Book Depository CA,97.41,New,ayvax,72.26,New,True,72.26,96.10580000000002,-0.26,-0.33,-0.37
156577020X,Goodwill Store 2024,130.0,Used - Very Good,Amazon,122.37,New,False,122.37,162.7521,-0.06,-0.15,-0.2
1259188132,fakeDict,-99,something wrong happened,*Smart Student*,99.48,New,True,99.48,132.3084,-2.0,-1.9,-1.85
0312681674,Amazon,104.56,New,Larry's Library and Emporium,40.99,Used - Acceptable,True,40.99,54.51670000000001,-0.61,-0.65,-0.67
0134662067,Amazon,88.22,New,TEXTBookAMAZING,45.0,New,True,45.0,59.85,-0.49,-0.54,-0.57
0134689518,Amazon,114.84,New,Amazon,94.99,New,False,94.99,126.3367,-0.17,-0.26,-0.3
1401284264,Amazon,114.68,New,Amazon,98.21,New,False,98.21,130.6193,-0.14,-0.23,-0.27
1610725794,Book Depository CA,75.37,New,Mometrix Test Preparation,51.78,New,True,51.78,68.8674,-0.31,-0.38,-0.42
0134293932,Hinoyama#CA,395.92,Used - Good,Open Range Media,96.05,Used - Good,True,96.05,127.7465,-0.76,-0.78,-0.79
0134746244,Second Bind,143.7,Used - Like New,NovelBox,104.0,Used - Good,True,104.0,138.32,-0.28,-0.35,-0.38
1305952308,Amazon,199.95,New,RockCityBooks,100.21,Used - Acceptable,True,100.21,133.2793,-0.5,-0.55,-0.57
1610721918,Book Depository CA,86.61,New,Mometrix Test Preparation,57.78,New,True,57.78,76.84740000000001,-0.33,-0.4,-0.43
0471198269,BooksfromCANADA,99.95,Used - Very Good,jubileebooks,79.88,Used - Good,True,79.88,106.2404,-0.2,-0.28,-0.32
0205296327,Geeky Beaver Canada,79.85,Used - Good,Infinitum Trading,53.51,Used - Good,True,53.51,71.1683,-0.33,-0.4,-0.43
1605358975,Amazon,124.95,New,Amazon,91.48,New,False,91.48,121.6684,-0.27,-0.34,-0.38
1119116368,Amazon,115.95,New,-Book$Run Textbooks-,70.33,Used - Good,False,70.33,93.5389,-0.39,-0.45,-0.48
1605353752,Amazon,207.95,New,FirstAveBooks,91.0,Used - Good,True,91.0,121.03,-0.56,-0.61,-0.63
1305253612,RAE global,61.26,Used - Good,Jenson Books Inc,59.3,Used - Acceptable,True,59.3,78.869,-0.03,-0.13,-0.18
088707345X,Amazon,91.24,New,Amazon,69.59,New,False,69.59,92.55470000000001,-0.24,-0.31,-0.35
