ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0134462459,Amazon,199.0,New,Half-Price Hank's Books,107.11,Used - Acceptable,True,107.11,142.4563,-0.46,-0.52,-0.54
1408856786,byway-books-uk,129.99,New,RentU,109.8,Used - Acceptable,True,109.8,146.034,-0.16,-0.24,-0.28
0310452856,Amazon,83.79,New,Amazon,54.91,New,False,54.91,73.0303,-0.34,-0.41,-0.44
0310916410,Amazon,72.26,New,North End Distributing,44.19,Used - Very Good,True,44.19,58.7727,-0.39,-0.45,-0.48
133816368X,Amazon,71.98,New,Amazon,65.64,Used - Acceptable,True,65.64,87.30120000000002,-0.09,-0.18,-0.22
1506248446,Amazon,82.76,New,Amazon,50.99,New,False,50.99,67.81670000000001,-0.38,-0.45,-0.48
0310421314,Amazon,86.13,New,Lower-Christian-Prices,66.98,New,True,66.98,89.08340000000003,-0.22,-0.3,-0.34
1107189632,Amazon,85.95,New,Amazon,66.58,New,False,66.58,88.5514,-0.23,-0.3,-0.34
0310434807,BookOutlet Canada,77.97999999999998,Used - Like New,Amazon,54.51,New,False,54.51,72.4983,-0.3,-0.37,-0.41
1414307225,Amazon,72.08,New,Loving Wisdom,54.79,Used - Good,True,54.79,72.8707,-0.24,-0.32,-0.35
1422184056,Amazon,99.15,New,FlippingPages,64.29,Used - Good,True,64.29,85.50570000000002,-0.35,-0.42,-0.45
1482253445,Amazon,124.51,New,apex_media,100.62,New,True,100.62,133.8246,-0.19,-0.27,-0.31
1506236227,Amazon,233.85,New,Amazon,117.48,New,False,117.48,156.2484,-0.5,-0.55,-0.57
1418542296,Amazon,90.51,New,Amazon,59.7,New,False,59.7,79.40100000000002,-0.34,-0.41,-0.44
0718024133,fakeDict,-99.0,something wrong happened,mazeh bargains,63.0,Used - Good,True,63.0,83.79,-1.64,-1.57,-1.54
0310452848,Amazon,82.87,New,Amazon,51.22,New,False,51.22,68.1226,-0.38,-0.44,-0.47
1119304148,University of Toronto Bookstore,108.54,New,Tome Dealers,111.2,Used - Good,True,111.2,147.89600000000004,0.02,-0.08,-0.13
0134014545,Amazon,171.99,New,Amazon,132.99,New,False,132.99,176.87670000000003,-0.23,-0.3,-0.34
0323554288,Book Depository CA,200.41,New,MediaAlternativesDotOrg,118.29,Used - Very Good,True,118.29,157.3257,-0.41,-0.47,-0.5
4874244475,Lightning Japan,65.0,New,SAKURA DREAMS,48.0,New,True,48.0,63.84,-0.26,-0.34,-0.37
1285741552,Canada Thrift,136.48,Used - Very Good,Bargain Lenders,183.33,Used - Very Good,True,183.33,243.82890000000003,0.34,0.21,0.14
1259277720,Hinoyama#CA,303.3400000000001,Used - Like New,Goodbooks Company,74.27,Used - Good,True,74.27,98.7791,-0.76,-0.78,-0.79
0134580990,Textbooks for Change,136.11,Used - Very Good,FranklinMedia,149.0,Used - Good,True,149.0,198.17,0.09,-0.01,-0.07
1305950445,Amazon,269.58,New,Aarilyn's Corner,94.95,Used - Very Good,True,94.95,126.2835,-0.65,-0.68,-0.7
1626886075,fakeDict,-99.0,something wrong happened,mediaus,69.18,New,True,69.18,92.0094,-1.7,-1.63,-1.59
0980232775,Amazon,106.31,New,Amazon,74.08,New,False,74.08,98.5264,-0.3,-0.37,-0.41
1414391978,Amazon,80.12,New,Amazon,51.77,New,False,51.77,68.8541,-0.35,-0.42,-0.45
1633696219,Amazon,73.45,New,Right Shift LLC,56.0,New,True,56.0,74.48,-0.24,-0.31,-0.35
0134583302,Amazon,78.15,New,TEXTBookAMAZING,36.97,New,True,36.97,49.1701,-0.53,-0.57,-0.6
089869244X,Amazon,99.24,New,FlippingPages,48.14,Used - Good,True,48.14,64.0262,-0.51,-0.56,-0.59
1305861868,Kennys Bookshop & Art Gallery,131.04999999999998,New,SuperExpressDeals,87.2,New,False,87.2,115.976,-0.33,-0.4,-0.43
0073383090,fakeDict,-99.0,something wrong happened,FranklinMedia,93.87,Used - Acceptable,True,93.87,124.8471,-1.95,-1.85,-1.81
0815344325,Kelowna Books,231.44,New,FranklinMedia,100.99,Used - Acceptable,True,100.99,134.3167,-0.56,-0.61,-0.63
0826134742,Distant_books,62.95,Used - Like New,itemspopularsonlineaindemand,40.25,New,True,40.25,53.53250000000001,-0.36,-0.42,-0.46
0134112830,fakeDict,-99.0,something wrong happened,FranklinMedia,69.1,Used - Acceptable,True,69.1,91.903,-1.7,-1.63,-1.59
1401207138,The Comic Hunter (Moncton),98.9,Used - Very Good,Amazon,72.99,New,False,72.99,97.0767,-0.26,-0.34,-0.37
1439840954,Amazon,93.4,New,Amazon,68.92,New,False,68.92,91.6636,-0.26,-0.34,-0.37
0521833787,Textbooks for Change,98.74,Used - Good,Amazon,67.35,New,False,67.35,89.57549999999998,-0.32,-0.39,-0.42
1319057446,Talk of the Tome Books,68.48,New,Perpetual Textbooks,64.5,Used - Very Good,True,64.5,85.78500000000003,-0.06,-0.15,-0.2
013454353X,Second Bind,155.03,Used - Like New,yin-yang,125.0,Used - Good,True,125.0,166.25,-0.19,-0.27,-0.31
1617952796,Amazon,82.6,New,Amazon,54.1,New,False,54.1,71.953,-0.35,-0.41,-0.44
0310452775,Amazon,68.39,New,Amazon,43.17,New,False,43.17,57.41610000000001,-0.37,-0.43,-0.46
0891896600,BLU-NEKO*CA,669.07,Used - Very Good,mediaus,89.0,New,True,89.0,118.37,-0.87,-0.88,-0.89
1433544040,Amazon,80.8,New,Amazon,80.99,New,False,80.99,107.7167,0.0,-0.1,-0.15
0134775651,Amazon,90.42,New,Amazon,58.46,New,False,58.46,77.7518,-0.35,-0.42,-0.45
1483344371,Amazon,92.37,New,Eric's Books & More,63.0,Used - Good,True,63.0,83.79,-0.32,-0.39,-0.42
0071390111,Amazon,121.72,New,BnM,80.21,Collectible - Like New,True,80.21,106.6793,-0.34,-0.41,-0.44
1591265304,fakeDict,-99.0,something wrong happened,PPI - ppi2pass (authorized publisher),94.5,New,True,94.5,125.685,-1.95,-1.86,-1.81
159126443X,Amazon,180.84,New,Tome Dealers,78.94,Used - Good,True,78.94,104.9902,-0.56,-0.61,-0.63
1479391271,Amazon,117.79,New,BuyLow Warehouse LLC,69.29,Used - Very Good,True,69.29,92.1557,-0.41,-0.47,-0.5
0190276096,Textbook Fortune,67.99,Used - Good,HigherEdBooks5,58.33,Used - Like New,True,58.33,77.5789,-0.14,-0.23,-0.27
1259706613,Amazon,288.92,New,Savage Textbooks 📚,99.99,Used - Good,True,99.99,132.9867,-0.65,-0.69,-0.71
1401897258,Amazon,95.45,New,Amazon,65.46,New,False,65.46,87.06179999999998,-0.31,-0.38,-0.42
1586179721,Book Depository CA,78.7,New,Amazon,56.0,New,False,56.0,74.48,-0.29,-0.36,-0.4
1111578702,Hinoyama#CA,228.47,Used - Good,Textbooks for Heroes,85.99,Used - Good,True,85.99,114.3667,-0.62,-0.66,-0.68
0781445418,Amazon,85.4,New,Amazon,60.99,New,False,60.99,81.11670000000002,-0.29,-0.36,-0.39
1305498208,Russell-books,321.91,New,Perpetual Textbooks,69.84,Used - Good,True,69.84,92.8872,-0.78,-0.8,-0.82
1305104943,Distant_books,76.41,Used - Like New,apex_media,45.66,New,True,45.66,60.7278,-0.4,-0.46,-0.49
928324494X,Amazon,189.0,New,Books In Demand,103.89,Used - Very Good,True,103.89,138.1737,-0.45,-0.51,-0.53
1418542253,Amazon,90.51,New,Inside Zone,59.99,Used - Like New,True,59.99,79.78670000000002,-0.34,-0.4,-0.44
013480208X,Book Depository CA,144.55,New,Eric's Books & More,75.83,Used - Acceptable,True,75.83,100.8539,-0.48,-0.53,-0.55
1626886059,fakeDict,-99.0,something wrong happened,apex_media,53.39,Used - Good,True,53.39,71.0087,-1.54,-1.49,-1.46
1319071236,BookMobCanada,88.0,Used - Good,Perpetual Textbooks,76.98,Used - Good,True,76.98,102.3834,-0.13,-0.21,-0.26
031043758X,Russell-books,131.42000000000002,New,Castle Combe Books,54.8,Used - Very Good,True,54.8,72.884,-0.58,-0.62,-0.65
0134605187,Amazon,197.0,New,The Book Trail,99.5,Used - Like New,True,99.5,132.335,-0.49,-0.55,-0.57
1684470560,Book Depository CA,110.2,New,Amazon,78.34,New,False,78.34,104.1922,-0.29,-0.36,-0.4
0134060490,Amazon,199.0,New,Open Range Media,97.38,Used - Good,True,97.38,129.5154,-0.51,-0.56,-0.58
0393655776,Amazon,78.93,New,cheap affordable textbooks,52.99,Used - Like New,True,52.99,70.47670000000002,-0.33,-0.4,-0.43
1591265177,Amazon,112.5,New,Patrick  Miller,31.99,Used - Like New,True,31.99,42.5467,-0.72,-0.74,-0.76
1401243142,Amazon,123.43,New,Amazon,83.91,New,False,83.91,111.6003,-0.32,-0.39,-0.42
1535963433,Amazon,104.45,New,Amazon,79.99,New,False,79.99,106.3867,-0.23,-0.31,-0.35
